Comment,Designator,Footprint,LCSC,Quantity
1k,R2,R_0402_1005Metric,C11702,1
10uF,C15,C_1206_3216Metric,C13585,1
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738,1
0.1uF,C16,C_0603_1608Metric,C14663,1
10uF,"C17,C18",C_0805_2012Metric,C15850,2
22pF,"C3,C4",C_0603_1608Metric,C1653,2
330pF,"C21,C22,C23",C_0603_1608Metric,C1664,3
1N5819WS,"D10,D11,D4,D9",D_SOD-323_HandSoldering,C191023,4
4.7uF,C9,C_0603_1608Metric,C19666,1
1k,R17,R_0603_1608Metric,C21190,1
100,"R34,R35,R36",R_0603_1608Metric,C22775,3
7.5k,R22,R_0603_1608Metric,C23234,1
75k,R18,R_0603_1608Metric,C23242,1
120,"R29,R30",R_0402_1005Metric,C25079,2
100k,R10,R_0402_1005Metric,C25741,1
10k,"R1,R13,R14,R16,R23,R3,R31,R32,R33,R37,R6,R7,R8",R_0402_1005Metric,C25744,13
12k,R11,R_0402_1005Metric,C25752,1
200k,R9,R_0402_1005Metric,C25764,1
20k,"R15,R24",R_0402_1005Metric,C25765,2
10k,R19,R_0603_1608Metric,C25804,1
2.2k,"R12,R25,R26,R27,R28",R_0402_1005Metric,C25879,5
0.1uF,"C1,C19,C2,C20,C25,C5,C6,C7,C8",C_0402_1005Metric,C307331,9
2k,"R20,R21,R4,R5",R_0402_1005Metric,C4109,4
BSS138,Q1,SOT-23,C5224274,1
1uF,"C12,C13,C24",C_0402_1005Metric,C52923,3
MAX3485,"U3,U4",SOP-8_3.9x4.9mm_P1.27mm,C558792,2
S8550,Q3,SOT-23,C8542,1
