Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,9.855025,-3.072435,45.0,bottom
C12,1uF,C_0402_1005Metric,30.1,-26.6,90.0,bottom
C13,1uF,C_0402_1005Metric,30.1,-24.7,90.0,bottom
C15,10uF,C_1206_3216Metric,26.582983,-18.627613,180.0,bottom
C16,0.1uF,C_0603_1608Metric,24.1,-5.9,180.0,bottom
C17,10uF,C_0805_2012Metric,32.525796,-26.751141,180.0,bottom
C18,10uF,C_0805_2012Metric,19.5,-23.5,90.0,bottom
C19,0.1uF,C_0402_1005Metric,8.7,-27.5,270.0,bottom
C2,0.1uF,C_0402_1005Metric,7.787323,-3.046472,315.0,bottom
C20,0.1uF,C_0402_1005Metric,0.9,-23.8,270.0,bottom
C21,330pF,C_0603_1608Metric,26.0,-9.0,180.0,bottom
C22,330pF,C_0603_1608Metric,26.0,-12.0,180.0,bottom
C23,330pF,C_0603_1608Metric,22.9,-15.0,0.0,bottom
C24,1uF,C_0402_1005Metric,16.554419,-21.909773,180.0,bottom
C25,0.1uF,C_0402_1005Metric,33.9,-16.7,270.0,bottom
C3,22pF,C_0603_1608Metric,11.99,-1.83,135.0,bottom
C4,22pF,C_0603_1608Metric,16.43,-5.5,315.0,bottom
C5,0.1uF,C_0402_1005Metric,4.2,-11.6,225.0,bottom
C6,0.1uF,C_0402_1005Metric,13.071,-13.788,135.0,bottom
C7,0.1uF,C_0402_1005Metric,9.811559,-15.017962,0.0,bottom
C8,0.1uF,C_0402_1005Metric,24.1,-2.8,180.0,bottom
C9,4.7uF,C_0603_1608Metric,13.95,-15.823,270.0,bottom
D10,1N5819WS,D_SOD-323_HandSoldering,22.4,-11.2,180.0,bottom
D11,1N5819WS,D_SOD-323_HandSoldering,22.4,-9.2,180.0,bottom
D4,1N5819WS,D_SOD-323_HandSoldering,28.044085,-20.820723,180.0,bottom
D9,1N5819WS,D_SOD-323_HandSoldering,22.4,-13.2,180.0,bottom
Q1,BSS138,SOT-23,22.3,-17.8,180.0,bottom
Q3,S8550,SOT-23,11.456,-18.98,270.0,bottom
R1,10k,R_0402_1005Metric,6.440393,-3.72513,45.0,bottom
R10,100k,R_0402_1005Metric,20.847497,-20.770065,270.0,bottom
R11,12k,R_0402_1005Metric,22.848281,-21.295901,180.0,bottom
R12,2.2k,R_0402_1005Metric,22.830388,-20.063608,0.0,bottom
R13,10k,R_0402_1005Metric,32.544889,-25.03093,180.0,bottom
R14,10k,R_0402_1005Metric,32.4,-28.4,0.0,bottom
R15,20k,R_0402_1005Metric,26.533189,-16.921968,180.0,bottom
R16,10k,R_0402_1005Metric,17.635403,-23.757237,90.0,bottom
R17,1k,R_0603_1608Metric,25.6,-7.4,0.0,bottom
R18,75k,R_0603_1608Metric,22.6,-7.4,0.0,bottom
R19,10k,R_0603_1608Metric,24.1,-4.4,180.0,bottom
R2,1k,R_0402_1005Metric,8.698293,-22.994051,90.0,bottom
R20,2k,R_0402_1005Metric,27.7,-30.5,0.0,bottom
R21,2k,R_0402_1005Metric,25.700001,-30.5,0.0,bottom
R22,7.5k,R_0603_1608Metric,11.528089,-16.276059,180.0,bottom
R23,10k,R_0402_1005Metric,1.644265,-14.867059,0.0,bottom
R24,20k,R_0402_1005Metric,8.679569,-21.006074,270.0,bottom
R25,2.2k,R_0402_1005Metric,2.4,-23.4,180.0,bottom
R26,2.2k,R_0402_1005Metric,4.4,-23.4,180.0,bottom
R27,2.2k,R_0402_1005Metric,15.3,-26.3,90.0,bottom
R28,2.2k,R_0402_1005Metric,15.8,-23.6,180.0,bottom
R29,120,R_0402_1005Metric,4.4,-24.5,180.0,bottom
R3,10k,R_0402_1005Metric,14.517,-13.365,270.0,bottom
R30,120,R_0402_1005Metric,15.8,-24.7,0.0,bottom
R31,10k,R_0402_1005Metric,4.45757,-6.347878,315.0,bottom
R32,10k,R_0402_1005Metric,17.320756,-13.09608,180.0,bottom
R33,10k,R_0402_1005Metric,2.439112,-13.113082,90.0,bottom
R34,100,R_0603_1608Metric,26.0,-15.0,0.0,bottom
R35,100,R_0603_1608Metric,26.0,-13.5,0.0,bottom
R36,100,R_0603_1608Metric,26.0,-10.5,0.0,bottom
R37,10k,R_0402_1005Metric,33.9,-14.7,90.0,bottom
R4,2k,R_0402_1005Metric,2.531777,-6.858781,180.0,bottom
R5,2k,R_0402_1005Metric,2.295514,-11.542848,180.0,bottom
R6,10k,R_0402_1005Metric,1.02244,-6.42206,270.0,bottom
R7,10k,R_0402_1005Metric,1.393586,-13.404041,270.0,bottom
R8,10k,R_0402_1005Metric,23.9,-31.7,270.0,bottom
R9,200k,R_0402_1005Metric,25.447948,-20.791165,270.0,bottom
U3,MAX3485,SOP-8_3.9x4.9mm_P1.27mm,2.770446,-19.085504,270.0,bottom
U4,MAX3485,SOP-8_3.9x4.9mm_P1.27mm,12.0,-24.7,270.0,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,14.18,-3.71,225.0,bottom
