Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,34.159743,-16.696675,270.0,bottom
C14,1uF,C_0402_1005Metric,1.389679,-6.646407,0.0,bottom
C23,10uF,C_1206_3216Metric,24.186288,-27.862049,270.0,bottom
C24,10uF,C_1206_3216Metric,21.788621,-27.862049,270.0,bottom
C25,0.1uF,C_0402_1005Metric,25.921593,-25.967339,270.0,bottom
C26,1uF,C_0402_1005Metric,29.046592,-17.231952,90.0,bottom
C27,1uF,C_0402_1005Metric,25.926688,-24.011447,90.0,bottom
C28,47nF,C_0603_1608Metric,27.376853,-24.480142,90.0,bottom
C29,0.1uF,C_0402_1005Metric,24.032631,-13.785961,90.0,bottom
D5,1N5819WS,D_SOD-323_HandSoldering,19.559617,-26.92649,270.0,bottom
Q5,BSS138,SOT-23,6.078896,-7.121347,90.0,bottom
R1,1k,R_0402_1005Metric,34.17232,-14.659096,270.0,bottom
R18,47k,R_0402_1005Metric,3.347439,-6.639825,0.0,bottom
R19,10k,R_0402_1005Metric,6.196336,-12.58139,0.0,bottom
R2,10k,R_0402_1005Metric,25.497257,-12.841571,315.0,bottom
R24,10k,R_0402_1005Metric,7.597912,-3.06278,270.0,bottom
R26,10k,R_0402_1005Metric,6.999069,-1.419813,180.0,bottom
R28,10k,R_0402_1005Metric,6.523448,-3.060501,270.0,bottom
R29,10k,R_0402_1005Metric,6.857926,-4.622934,0.0,bottom
R3,10k,R_0402_1005Metric,30.165448,-26.005071,270.0,bottom
R30,20k,R_0402_1005Metric,18.033291,-26.501083,90.0,bottom
R4,100k,R_0402_1005Metric,7.046543,-10.037803,270.0,bottom
R69,20k,R_0402_1005Metric,4.7,-11.5,0.0,bottom
R72,20k,R_0402_1005Metric,5.713895,-10.016175,90.0,bottom
R75,20k,R_0402_1005Metric,6.655288,-11.523492,0.0,bottom
U6,Driver_FETGate_DRV8323S,Driver_FETGate_DRV8323S,24.517987,-19.045821,90.0,bottom
