Comment,Designator,Footprint,LCSC
Q_PMOS_GDS,Q2,TO-252-3_TabPin2,
RAYEX-L90,K1,TRV4-L-12V-Z-F,
Conn_01x02_Female,J3,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,
Q_PMOS_GDS,Q4,TO-252-3_TabPin2,
470uF,C2,C_Elec_8x10.2,
Q_NMOS_GSD,Q5,SOT-23_Handsoldering,
Voltmeter_DC,MES1,SuperSmallVoltmeter_twoline,
Q_PMOS_GDS,Q1,TO-252-3_TabPin2,
D,D1,D_SOD-123,
Q_PMOS_GDS,Q3,TO-252-3_TabPin2,
10k,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Conn_01x02_Female,J4,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,
Conn_01x02_Female,J2,Molex_SPOX_5268-02A_1x02_P2.50mm_Horizontal,
Conn_01x02_Female,J8,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,
510,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Conn_01x02_Female,J10,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,
Conn_01x02_Female,J1,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,
Conn_01x02_Female,J9,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,
Fuse,F1,Fuseholder_Blade_Mini_Keystone_3568,
10k,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Conn_01x02_Female,J5,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,
510,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
4.7uF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
Conn_01x02_Female,J6,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,
Conn_01x02_Female,J12,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,
10k,R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Conn_01x02_Female,J7,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,
1k,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Conn_01x02_Female,J11,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,
SW_SPST,SW1,DS-850K-S-ON,
MountingHole,H4,MountingHole_3.2mm_M3,
MountingHole,H3,MountingHole_3.2mm_M3,
MountingHole,H2,MountingHole_3.2mm_M3,
MountingHole,H1,MountingHole_3.2mm_M3,
