Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,157.06,-71.47,0.0,top
C2,470uF,C_Elec_8x10.2,110.06,-107.47,180.0,top
D1,D,D_SOD-123,162.98,-91.62,0.0,bottom
F1,Fuse,Fuseholder_Blade_Mini_Keystone_3568,109.06,-83.47,-90.0,top
J1,Conn_01x02_Female,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,110.66,-53.36,0.0,top
J2,Conn_01x02_Female,Molex_SPOX_5268-02A_1x02_P2.50mm_Horizontal,97.06,-95.47,-90.0,top
J3,Conn_01x02_Female,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,193.735,-91.47,-90.0,top
J4,Conn_01x02_Female,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,193.735,-62.47,-90.0,top
J5,Conn_01x02_Female,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,110.81,-125.145,180.0,top
J6,Conn_01x02_Female,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,154.31,-125.145,180.0,top
J7,Conn_01x02_Female,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,193.735,-105.97,-90.0,top
J8,Conn_01x02_Female,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,193.735,-76.97,-90.0,top
J9,Conn_01x02_Female,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,139.81,-125.145,180.0,top
J10,Conn_01x02_Female,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,183.31,-125.145,180.0,top
J11,Conn_01x02_Female,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,168.81,-125.145,180.0,top
J12,Conn_01x02_Female,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,125.31,-125.145,180.0,top
K1,RAYEX-L90,TRV4-L-12V-Z-F,134.06,-90.47,-90.0,top
MES1,Voltmeter_DC,SuperSmallVoltmeter_twoline,140.06,-54.47,0.0,top
Q1,Q_PMOS_GDS,TO-252-3_TabPin2,162.6,-86.750995,90.0,top
Q2,Q_PMOS_GDS,TO-252-3_TabPin2,160.6,-96.750995,180.0,top
Q3,Q_PMOS_GDS,TO-252-3_TabPin2,170.6,-98.750995,-90.0,top
Q4,Q_PMOS_GDS,TO-252-3_TabPin2,172.6,-88.750995,0.0,top
Q5,Q_NMOS_GSD,SOT-23_Handsoldering,157.06,-65.47,-90.0,top
R1,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,163.66,-93.78,180.0,bottom
R2,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,157.06,-73.47,0.0,top
R3,510,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,161.06,-71.47,180.0,top
R4,510,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,161.06,-69.47,0.0,top
R5,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,157.06,-69.47,0.0,top
R6,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,157.06,-61.47,180.0,top
SW1,SW_SPST,DS-850K-S-ON,169.06,-56.47,90.0,top
